%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1644356095958646181,51,1644356095957883834,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356096958967486,52,1644356096958113908,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356097958064508,53,1644356097957241296,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356098958686038,54,1644356098957927703,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356099976757235,55,1644356099975889205,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356100970695485,56,1644356100969822406,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356101957895846,57,1644356101957137823,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356102975519607,58,1644356102974695682,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356103975208806,59,1644356103974596977,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356104975618652,60,1644356104974816560,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356105957898604,61,1644356105957040071,,42.3408,-71.098115,11.2,327165.69686337654,4689747.909761016,19,T
1644356106960085910,62,1644356106959320545,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356107969665480,63,1644356107968836545,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356108958615284,64,1644356108957783460,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356109975040897,65,1644356109974282026,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356110959770600,66,1644356110958879709,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356111960021195,67,1644356111959184169,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356112972747358,68,1644356112971914291,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356113959347187,69,1644356113958513975,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356114953885226,70,1644356114953029155,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356115977829560,71,1644356115976994037,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356116977227546,72,1644356116976417064,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356117957919584,73,1644356117957077503,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356118977659487,74,1644356118976788759,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356119976595276,75,1644356119975811243,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356120970322272,76,1644356120969454765,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356121975743808,77,1644356121974803447,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356122959464635,78,1644356122958664655,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356123959139326,79,1644356123958270311,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356124971150822,80,1644356124970293760,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
1644356125952293880,81,1644356125951509237,,42.3408,-71.098115,11.1,327165.69686337654,4689747.909761016,19,T
